Лужа не сохнет по несколько дней||Лужа|не сохнет|дней  
Сломана ступенька лестницы от школы Партизанская 39 к 1му подъезду дома Бобруйская 18к3nПроступь оторвана от уголка на передней кромке сильно проседает при наступании на неё||\\nПроступь|оторвана|уголка  
ТС с прицепом длительное время находится без движения колеса давно спущены салон забит коробками||ТС|находится|движения  
Торговля продолжаетсяУправа работает отвратительно||Управа|работает|отвратительно  
Глина развозится по прилегающей территории и дорожке а раньше здесь был асфальт||Глина|развозится|территории  
Прошу эвакуировать брошенный автомобиль  он стоит на ул Горбунова более года грязный хулиганы разрисовали его двери не заблокированы||Горбунова|разрисовали|его  
К сожалению спустя длительное время после ответа данное ТС не было приведено владельцем в надлежащее состояние даже после схода снега и разъяснительной беседы с сотрудниками ОМВД колёса так и продолжают оставаться спущенными салон слегка захламлён в задней части листовки на лобовом стекле||ТС|не приведено|владельцем  
Автомобиль затрудняет движение и мешает уборке проезжей части||Автомобиль|затрудняет|движение  
Палатка занимает несколько парковочных мест на стоянке||Палатка|занимает|мест  стоянке
Мусор вновь не убран в полном объеме по всей территории валяются бытовые отходы жб строительные отходы и пр Часть мусора вновь перекидана от одного места к другому||Мусор|не убран|объеме  
Мусор бытовые отходы и поваленные деревья виден даже с тротуара||Мусор|виден|тротуара  
Авто может быть в угоне||Авто|может|угоне  
Уборка делается только после жалобы а на постоянной основе нет||Уборка|делается|жалобы  
До нового года был контейнер и два бака теперь осталось два бака на два дома и торгово офисные помещенияв  ГУИС отвечают что префектура дала распоряжение страдают жителиМусор скапливается около баковпросят оказать содействие для возврата контейнера||Мусор|скапливается|баков  
Плитка находится в ужасном состоянии а в не которых местах просто зацементирована или заложена асфальтом||Плитка|находится|состоянии  
Авто находится напротив дома 6||Авто|находится|дома  
nЯ буду жаловаться до тех пор пока здесь не будет чисто каждый день||\\nЯ|жаловаться|пор  
Лица без определённого места жительства захламили территорию между бетонными заборами бытовым мусором||Лица|захламили|территорию  заборами
Земля разрыта колесами машинnnПрошу придумать решение||Земля|разрыта|колесами  
Там проходит асфальтовая дорога по которой люди  из соседних домов по ул Ивантеевская  идут к трамвайной остановке||Ивантеевская|идут|остановке  
Мусор так и остался на территории||Мусор|остался|территории  
Свалка организована на 0км500м по четной стороне дорогиnnМаркер точного расположения не устанавливается на карте||Свалка|организована|стороне  дороги
В ответ на мое обращение тов Любарский в установленный срок дал ответ 0311||Любарский|дал|ответ  
Причины у лиц отвечающих за данную территорию различные  виноваты все кроме них Значительные объемы Контрольное Управление Москвы неизвестные лица живущие рядом и тдnЕсли не могут организовать порядок примите кадровые решения||n|примите|решения  
Мусор не убирается месяцами||Мусор|не убирается|месяцами  
Мусор сбрасывается прямо вдоль дороги||Мусор|сбрасывается|дороги  
Мусор раскидан на территории более чем 2000 м2||Мусор|раскидан|территории 2000 м2
Привязка территория МГУ парковка секторов К и М Автомобиль марки ГАЗ 24ХХ ВОЛГА синего цвета грз Украина длительное время неподвижно не менее полутора лет точно  засекала лично стоит на проезде к воротам сектора В на сдутых колёсах||Украина|стоит|проезде  воротам
Ул Михайлова 31 А двор завален мешками со строительным мусором||Михайлова|завален|мешками  мусором
Мусор валяется по всей территории если вы убрали под одним кустиком это еще не значит что территория убрана||Мусор|валяется|территории  
Уборки нет вообще никакой КАМАЗы с утра разводят грязь по жилому двору||КАМАЗы|разводят|грязь  
Вдоль дороги уже больше года стоит без движения автомобиль ВазКолеса спущеныкузов проржавелАвто занимает ценное парковочное местоВладельца авто среди жителей близлежащих домов найти не удалосьхотя ему даже оставляли записку под дворником||Авто|занимает|место  
Пстроители убрали вновь уложенный  асфальти теперь перед пеш переходом на перекрестке харьковской     и медынской ул отсутствует аб покрытие||Пстроители|убрали|асфальт  
Газоны захламлены крупным мусором и бутылками||Газоны|захламлены|мусором  
Столовая по адресу ул Гастелло д 42 ничего не сделала по моему обращению||Гастелло|не сделала|обращению  
Уборка произведена ненадлежащим образомnПросьба провести повторно уборку данной территорииn19062017||Уборка|произведена|образом  
Автомобиль стоит без движения на протяжении нескольких лет и гниет при этом занимает место и мешает передвижению других автомобилей||Автомобиль|стоит|движения  протяжении
Периодически УК делает псевдоремонт замазывая цементом пространство между оставшимся асфальтом и краем ступеней||УК|делает|псевдоремонт  
Тягач более двух лет стоит без движения ||Тягач|стоит|движения  
А также очень хотелось бы знать какое ГБУ  отвечает за эту территориюnnС уважением Кудряшов Георгий||ГБУ|отвечает|территорию  
Мусор не вывезен с территориисообщение об устранении не сооттветсвует дейсивительност||Мусор|вывезен|территории  
Городская территория на входе в тоннель под железнодорожной станцией Электрозаводская продолжает постоянно захламляется мусором оставляемым субъектами ведущими несанкционированную торговлю с рук Мусор убирается только к моменту проведения проверок контрольным органом||Мусор|убирается|моменту  проведения
Управа представила очередную отписку||Управа|представила|отписку  
Газель повредила газон стоит на спущенных колесах номерные знаки отсутствуют||Газель|повредила|газон  
Данное ТС с июня 2015 года незаконно занимает 2 парковочных места||ТС|занимает|места  
Магазин находящийся в доме выставляет хлам и мусор на улицу||Магазин|выставляет|хлам  
Мешки разложатся на микропластик и попадут в воду||Мешки|разложатся|микропластик  
Плитки расколоты и с трещинами||Плитки|расколоты|трещинами  
Плитка уложена волнами есть выступы трещины и сколы||Плитка|уложена|волнами  
Мусор отодвинут на пару метров||Мусор|отодвинут|пару  метров
Мусор попрежнему лежит на указанной ранее территории||Мусор|лежит|территории  
Выявлено НАРУШЕНИЕСосульки свисают Готвы свалился вниз на голову посетителям ||Готвы|свалился|голову  
Бомжи сейчас не появляются на этом месте но это просто ужас что они оставили после себя||Бомжи|не появляются|месте  
Прошу доделать работу а то Вы просто обвели черное  графитти желтой красной||Вы|обвели|графитти  
Мусор бутылки сухие ветки свалены в кусты и уже целый месяц не убираются||Мусор|свалены|кусты  
Кучи сбросили на дороге||Кучи|сбросили|дороге  
Венткиосок который находится недалековесь обклеен рекламой||Венткиосок|обклеен|рекламой  
Захаламлееие территории тутбетонные конструкциимусорнужно срочно вывести его отсюда||Захаламлееие|тут(|конструкции\\  
Сквер напоминает помойку||Сквер|напоминает|помойку  
Мусор и минипомойки остались на своих местах||Мусор|остались|местах  
Мусор с начала 2016 года не вывозится неделями||Мусор|не вывозится|неделями  
Мешки с реагентами брошены прямо на пешеходный переход||Мешки|брошены|переход  
Лестница опасна для жизни и здоровья жителей||Лестница|опасна|жизни  
Вонь от отходов распространяется до ближайших домов и парка  распроложенного через железную дорогу где отдыхают семьями||Вонь|распространяется|домов  
Мусор убран с территории вдоль парка лишь частично||Мусор|убран|территории  парка
Птицы растаскивают накопившийся мусор||Птицы|растаскивают|мусор  
Мушки летают по квартире||Мушки|летают|квартире  
Уборка не была осуществлена до конца||Уборка|не осуществлена|конца  
nМусор разбросан по всему участкубытовой и промышленный все вместе||\\nМусор|разбросан|участку  
nМусор раскидывается по всему участку||\\nМусор|раскидывается|участку  
Помойка разрастается с невиданной скоростью сквер захламлен мусор не убираетсяnПросьба принять меры||Помойка|разрастается|скоростью  
Магазин расположен в жилом здании нам данным местом находятся окна квартир||Магазин|расположен|здании  
Ступеньки стали сами по себе чуть ровнее но длина ступенек их высота  далеки от нормальных и вообще каждый раз разные||Ступеньки|стали|сами  себе
Не чего не сделаноЛестница как была так и остается в ужасном состояниеnn||Лестница|остается|состояние  
Уже много лет Управа района не может найти ХОЗЯИНА дороги и тротуара вдоль дома 4 перпендикулярно улице Пудовкина по улице Пудовкинасоединяющей саму улицу с домом 6 корп 1Каждую зимутравмы и жалобы на неубраную от снега и льда территорию и гололедСтихийная автостоянка студентов Академии внешней торговли затрудняет уборкуи она ПОЛНОСТЬЮ отсутствуетПотому что ДЭЗ заявляет о томчто он не хозяин и АкадемиятожеТолько разовые ЕЖЕГОДНЫЕ жалобы позволяют иногда навести порядокПрошу оказать ПОМОЩЬМне 83 года Яучастник обороны Москвы и ходить по неубранному льду очень трудно||ДЭЗ|заявляет|том  
Управа дала всем владельцам гаражей предписаниечтобы  до 7 июля забрать все свои вещи из гаражейтк они будут демонтированы и вывезеныИ что за бардак мы видим все эти днигде людикоторые должны всё это сделатьчто за бардак устроила управаидёт просто какое то мародёрствовсе кому не лень ломают гараживывозят железоа где управа||Управа|дала|предписание  
nА потом его ждёт травмпункт распростертым пустым карманом ||\\nА|ждёт|карманом  
Авто подозрительно долго стоит бесхозным прошу принять меры к розыску хозяина или убрать данное авто||Авто|стоит|бесхозным  
Мусор с грохотом падая с 20х этажей поднимал облака пыли и мелкого песка||Мусор|поднимал|облака  пыли
Мусор все так же разносит ветром||Мусор|разносит|ветром  
Жилищник вы знаете что такое плановые уборки||Жилищник|знаете|что  
Дворник гастарбайртер с утра коекак очищает узкий пешеходный тротуар у подъезда и исчезает в неизвестном направлении||Дворник|очищает|тротуар  
Лужи видимые на фотографиях свидетельствуют о нарушении уклонов асфальтового покрытия уложенного в ходе данного благоустройства те некачественно выполненной работы по укладке||Лужи|свидетельствуют|нарушении  уклонов
при съезде с Электрозаводского моста со стороны ближе к станции метро Электрозаводская стоит брошенный автомобиль без госномеров||Электрозаводская|ближе|станции  метро
Машина служит незаконным рекламным щитом расположенной в шаговой доступности компании||Машина|служит|щитом  компании
Дворники незаконно сделали копии ключей||Дворники|сделали|копии  ключей
Балансосодержатель со всем не заботиться о пешеходах||Балансосодержатель|не заботиться|пешеходах  
Лестница должна быть с уклоном до 20 градусов и шириной не менее 100 см Ступени должны быть из антискользящего материала строго одинакового размера высотой ступеней от 15 до 20 см а шириной проступи от 25 до 40 см длина марша от 3 до 17 ступеней||Лестница|должна|уклоном 20 градусов
За заправкой ЛУКОЙЛ устроили свалку из строительного мусора||ЛУКОЙЛ|устроили|свалку  мусора
Мешки со строительным мусором лежат уже неделю и не убираются||Мешки|лежат|неделю  
Мусор на данной территории не убирается с тех пор как сошёл снег||Мусор|не убирается|пор  
Вандалы сломали табличку на указатели прошу вас принять меры фото прилагается||Вандалы|сломали|табличку  
Лестница после 3го ремонта так и не отремонтирована до конца||Лестница|не отремонтирована|конца  
Лестница находится напротив подъезда 2 дома 30 по ул Осенняя||Лестница|находится|подъезда 2 дома
ОАТИ сделали очень странные фотографии именно тех углов лестницы где плитка цела||ОАТИ|сделали|фотографии  углов
Публикую снимки с другого ракурса Застройщик вводит в заблуждении техническую инспекцию||Застройщик|вводит|заблуждении  
Лестница отремонтированная супер квалифицированными работниками не простояла и недели плитка шатается и отваливается||Лестница|не простояла|недели  
Ветер разносит мусор по району||Ветер|разносит|мусор  
Мешки с мусором уже занимают часть проезжей части улицы||Мешки|занимают|часть  части
Ступени разной высоты установлены под разным углом многие Ступени провалены в землю||Ступени|провалены|землю  
ТС проделало путь всего в два дома без регистрационных номеров и заняло 15 места в парковочном кармане возле дома  25 по Сиреневому бульвару||ТС|проделало|путь  
Автомобиль долгое время находится без движения на одном местегос номеров нетза машиной не ухаживаютколеса приспущены||Автомобиль|находится|движения  
Набережная превращается в свалкуnПрошу принять меры по уборке территорииn||Набережная|превращается|свалку  
Мусор из урн  разлетается по благоустроенной территории||Мусор|разлетается|территории  
Жилищник незаконно использует городскую территорию под открытый склад пунктом мойки колес необорудованно все в грязи||Жилищник|использует|территорию  
В лесопарковой зоне рядом с гаражом расположенном по адресу г Москва ул Родионовская дом 5 выбросили огромное количество шин от колес||Москва|расположенном|адресу  г.
Плитка разбита в труху||Плитка|разбита|труху  
На мое сообщение 15742085  сообщаю что проблема не устраненаНе везде снятывисящие на трубах банки  пепельницыКурильщики по прежнему бросают окурки на брусчатку и асфальтВход в подвал  в неприглядном виде и завален окурками||Курильщики|бросают|окурки  
Лестница была отремонтирована летом 2018 года||Лестница|отремонтирована|летом 2018 года
Газон напротив дома ул Кравченко 22 в котором находится диспетчерская Филевского троллейбусного парка затеян отработанными графитовыми брусками||Кравченко|затеян|брусками  
Навалы листвы попрежнему лежат на склоне и висят на деревьях изпод них торчит бытовой мусор||Навалы|лежат|склоне  
nКатегория выбрана верноегородская инфраструктура  повреждение лестницы||\\nКатегория|выбрана|верное  
Бомжи облюбовали территорию с выводами воздуховодов метрополитенаПисали жалобы много разоднако просто уборка территориинедостаточная мерапоскольку они возвращаются и захламляют территорию изо дня в день||Бомжи|облюбовали|территорию  выводами
Дворники ук по адресу рублевское шоссе дом 70 корпус 7 сухие елки выкинутые  жителями к мусорным контейнерам посадили в снег за домами||Дворники|посадили|снег  
Авто стоит на дороге занимает место||Авто|стоит|дороге  
